program,instruction,signature,err,slot,blocktime,fee,auth1,auth2,auth3,source,destination,misc1,misc2,misc3,uiamount
system,transfer,3RrdHR1X9aGjMnUFSVAMjyULNysd31VNpmUdeQdBkdvFQ91PXCxwrn4pe8N8fgkpfRKr6JVwABmQVMaKsDrb1DaZ,null,202827140,1688238317,0.000019,,,,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,xm1ursxBojUDAfDyyfB5r85tABUmnMw4Jkzb6xrPLJR,,,,400
system,transfer,1B5THEkwFgLU37w2WcAtzzPNECoFMDGMRrxs59K5t7Wgu2jBiD1Rn6M41Don3q2k3v9Bqz3ssF49MeUaHyVg3wq,null,202820998,1688235638,0.000019,,,,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,xm1ursxBojUDAfDyyfB5r85tABUmnMw4Jkzb6xrPLJR,,,,69.968
system,transfer,4jNXbBete9eGRVq44KubnAnemY3EzMxqQ8nu3zmb3HooRkHkqvytLkcB8sYgZacys1idcVGpLhiBGa2UkHbjoN3K,null,202609430,1688141200,0.000019,,,,5n59tvkQVTSQPnGpFUZwbgZEjG7Yw5BJiBp6SLZM33Rf,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,,,,99.999981
system,transfer,54SviWGcReu1QBR9WLt2TfaMxg78PKCpqmHxfyDZY9gxA64acDaKykqvfa5zVCg976nj9X3j1Dr37SaQkiZkAd5s,null,202672716,1688170186,0.000019,,,,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,4dWaxnUodbcsbdBZC3rifd7HDrttbBi7vf9EpgxFv68C,,,,4.53
system,transfer,yDziq1NLpVxH8AueEuSJ3R9YExL5pex1gQuXWj8sPoENWxC2BjghTett6iTNyc5pDAZw1Z9wQtPk7yDEmhDXTwr,null,202624926,1688148516,0.000019,,,,GLZd6rtwhELGcwaGieALS8K3L7RU4uqzdmjeC4fjpJji,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,,,,5812.34699464
system,transfer,4gqrJ6JPs7YnyixFKTfjefG68bcU8RUmZ8mCZvjmJb51bN7Yq2PMJAZGAAwSh8GvUkdSzmmgBRYJGfXVvHzg94pj,null,202617149,1688144802,0.000019,,,,6HP9gWqynCWTK5fYK6K3mYHD1nA1KouTxi6sDFh2btDo,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,,,,9.999881
system,transfer,4mh7FdrFjwy9p3pEAkNnHfumXEUcr7YJSfTA8yGZeNmGSLPAZwBEArm3GH12JGkNJEcLKTf4itgmfUbSpQYwXMxP,null,202706370,1688185156,0.000019,,,,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,xm1ursxBojUDAfDyyfB5r85tABUmnMw4Jkzb6xrPLJR,,,,410.135
system,transfer,3s859fgnicfKAFUDvY6voLtbrvhcnF59duN7F7WBDAoRi2utAoPTwcyaHyGPKWcgxExj6xgBya5HtSgJtgxgJQcX,null,202605593,1688139387,0.000019,,,,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,EVS6yFMD8c2bbtba6HsFgocqKCD9xa3RtKboFkd5YeFd,,,,47249.016718768
system,transfer,352DEHe2nKEsLNYA94VAbGNuUyBvZvpQkqy4d8hbsT3i8vR6NFyPi4nCkLwfxYmRosqs7vREK3KkUJR7cv87xPyk,null,202603144,1688138265,0.000019,,,,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,xm1ursxBojUDAfDyyfB5r85tABUmnMw4Jkzb6xrPLJR,,,,400
system,transfer,29wvNyF4qVpHisMY3wev4J61Hs83Nyp4ogADAUXtJipMbka4hDv3KTPv2z9eLyLaxiJEHBA1mP2FsgTF5RiSnm8H,null,202600256,1688136872,0.000019,,,,6eDALBUKfTKzqiZnVoTnwCFLc1K17UJdzkJTmURhqAkv,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,,,,0.05476052
