source,destination,total
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,BipJNu5x1Z6GsrHEdokpw4WFYCP4r4TU8qSnbEfkx5r1,12964297.76111669
EuSKNUXEyazWrSydY1qucVrr5WnuGc3pKRPbJJqo9U7e,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,9254032.127210382
XDWmPRGyTKYEdUrZbP8gPoExtYWiJacv2stLhsKo3zF,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,5081909.700621788
7CvbAjnfE22Ski55aXqbFa1iuEGXsbXp9rX3KxMV79a4,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,3612130.80755082
EHA76TpjgDwLeyesgYB4CJv8PCUct4ZxzDYPPFCqfYvM,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,3218328.885690588
Hxt8gv5uggdMiTwAA42AYgvLQCXQ2dButqXu55q5ffd9,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2115910.683229024
9WH6XY7qMqNWtk4pDiXFu6APib7pDXBKz6cpRvwjjxiX,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2036553.454427818
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,7Jn6K6Y9k3FZn9JST46Gudc6EQaVb42kGwJzkND8nWpf,1852096.2215926938
Cq3aX1TX1X35eds6YW2yqSEgbKfjMttt5Qc4Hr6zeSfV,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1588591.5615737357
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,HikjuSg43bahWc18n2K2dkTL6QQiY51LSTsgaaLsQG45,1228014.1307128
HikjuSg43bahWc18n2K2dkTL6QQiY51LSTsgaaLsQG45,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1228014.1306938
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,GDJxMGit7c5JdsdDSnpHeEdU7dMWRNSDH9d9V1XLPZ6V,1100425.15647399
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,AFVwGHfi8uWFJWQAYFg246vbep9ctpWTf3xGfvHSWYwG,1024845.111892834
AFVwGHfi8uWFJWQAYFg246vbep9ctpWTf3xGfvHSWYwG,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1024845.111873834
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,4LwpbU4tCZpXeA5bBsv4oqCfNsqyGiA9E8Wxe4kUk6tW,1009875.913126538
4LwpbU4tCZpXeA5bBsv4oqCfNsqyGiA9E8Wxe4kUk6tW,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1009875.913107538
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,6cYWygfS71UtwepL7jBfuyoJ5AfWhgEArG6dU43Qiem5,1000156.6835539001
6cYWygfS71UtwepL7jBfuyoJ5AfWhgEArG6dU43Qiem5,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1000156.6835349
